id,tipo,estado,prioridad,titulo,descripcion,racional,verificacion,criterios,trazabilidad
CTX-001,Contexto,Pendiente,Media,Métricas mínimas,"Rentabilidad acumulada/periodo vía TWR, volatilidad anualizada, drawdown máximo, Sharpe/Sortino, PnL realizado/no realizado y dividendos acumulados; rendimiento por activo/clase.",Objetivo general de métricas (A-TR).,N/A,N/A,Contexto; alimenta requisitos de métricas UI/TR.
CTX-002,Contexto,Pendiente,Media,Datos necesarios,"Series diarias de valor, operaciones, dividendos, benchmark opcional, tasa libre y CSV IB como entrada principal.",Definición de insumos requeridos.,N/A,N/A,Contexto para ingestión y cálculo.
CTX-003,Contexto,Pendiente,Media,Entradas y supuestos de cálculo,"Timezone unificado, fees/retenciones en cashflow, dividendos reinvertidos en cash, benchmarks alineados en fechas hábiles sin forward-fill de cashflows.",Supuestos base para cálculos consistentes.,N/A,N/A,Contexto de modelado.
CTX-004,Contexto,Pendiente,Media,API/servicios esperados,"Endpoints para series de valor/TWR/drawdown/benchmark, KPIs agregados, por activo/clase, con parámetros de rango/benchmark/tasa libre/moneda.",Alcance esperado de servicios.,N/A,N/A,Contexto para API.
REQ-UI-0001,Funcional,Pendiente,Alta,KPIs de desempeño y riesgo,"La UI debe mostrar en el dashboard tarjetas con valor de cartera, TWR del rango activo, volatilidad anualizada, drawdown máximo y actual, Sharpe, Sortino (tasa libre configurable), PnL realizado/no realizado y dividendos del periodo.","Visión unificada de desempeño, riesgo y flujos (A-PO, A-TR, ECSS).",T (prueba manual) + A (comparación contra backend).,1) Al menos 8 KPIs visibles simultáneamente; 2) Cambiar tasa libre actualiza Sharpe/Sortino sin recarga; 3) Valores coinciden con backend para dataset de prueba.,Padre: objetivo dashboard A-PO; Relación: consume REQ-TR-0001; Hijos: casos de prueba KPIs.
REQ-UI-0002,Funcional,Pendiente,Alta,Rangos rápidos consistentes,"La UI debe ofrecer rangos rápidos (mes actual, YTD, último año completo, desde inicio) y aplicar el rango a KPIs, gráficos y tablas del dashboard de forma consistente.","Asegurar coherencia temporal en la experiencia de análisis (A-PO, ECSS).",T (prueba manual) + I (inspección de estados).,"1) Cambiar rango actualiza KPIs, gráfico y tablas en <1 s perceptible; 2) No se muestran valores de rangos anteriores tras el cambio.",Padre: dashboard; Depende de REQ-UI-0001 y REQ-TR-0001.
REQ-UI-0003,Funcional,Pendiente,Alta,Gráfico cartera vs benchmark con drawdown,"La UI debe mostrar un gráfico con curva de valor de cartera y benchmark, sombreando drawdowns y permitiendo seleccionar sub-rangos.","Comparación relativa y visualización de pérdidas máximas (A-TR, ECSS).",I (inspección) + T (interacción en UI).,1) Se visualizan ambas curvas alineadas; 2) Sombreado cuando cartera está bajo máximo previo; 3) Selección de rango ajusta KPIs asociados.,Consume REQ-TR-0001; hijo: componente gráfico.
REQ-UI-0004,Funcional,Pendiente,Alta,Tabla por activo con coherencia de rango,"Tabla por activo con ticker, nombre, clase, unidades, precio, valor, PnL absoluto/%, peso y fecha de actualización, filtrada al rango activo.","Trazabilidad por activo y conciliación con agregados (A-UI, ECSS).",T (prueba manual) + A (sumas vs KPIs).,1) Totales valor/PnL suman al agregado; 2) Pesos suman ~100% ±0.5%; 3) Orden y filtros según rango.,Depende de REQ-UI-0002; hijos: pruebas de tabla.
REQ-UI-0005,Funcional,Pendiente,Media,Resumen por vehículo,"Resumen por vehículo (acciones, ETFs, bonos, opciones, efectivo) con peso, PnL y rentabilidad del periodo.","Entender contribución por instrumento (A-PO, A-TR).",T (prueba manual con dataset etiquetado).,"1) Cada vehículo muestra peso, PnL, retorno; 2) Pesos ~100% ±0.5%; 3) Totales concuerdan con KPIs.",Hijo de REQ-UI-0004; depende de clasificación de activos.
REQ-UI-0006,Funcional,Pendiente,Media,Totales de movimientos del periodo,"Totales y recuentos de compras, ventas y dividendos del periodo activo junto a KPIs.","Validar coherencia de flujos vs desempeño (A-PO, A-TR).",T (prueba manual) + A (reconciliación).,1) Totales por tipo coinciden con movimientos del rango; 2) Variar rango actualiza totales.,Relación con importadores (BK) y dashboard.
REQ-UI-0007,Funcional,Pendiente,Media,Control de benchmark y tasa libre en UI,Permitir seleccionar benchmark y tasa libre desde dashboard y reflejar cambios sin recargar vista.,Exploración comparativa fluida (A-TR).,T (prueba interactiva).,1) Cambio de benchmark actualiza gráfico/KPIs <1s; 2) Cambio de tasa libre recalcula Sharpe/Sortino.,Depende de REQ-TR-0001 y servicio de precios (BK).
REQ-UI-0008,No funcional,Pendiente,Alta,Gestión de estados y mensajes,"Mostrar estados de loading, vacío con CTA, error con reintento y alerta por datos desactualizados.","Usabilidad y resiliencia (A-UI, ECSS).",I (inspección) + T (forzar estados en dev).,1) Cada estado tiene mensaje/acción clara; 2) Alertas según umbral configurable.,Aplica a dashboard y vistas; relación con health checks (BK).
REQ-UI-0009,Funcional,Pendiente,Alta,Gráfica superior del portfolio,Gráfica con evolución del valor del portafolio y toggles para transferencias y % de beneficio/pérdida.,"Visión de evolución y relación con flujos (A-PO, A-TR).",I (inspección) + T (interacción).,1) Gráfica alineada por fecha; 2) Control para activar transferencias y %; 3) Ejes/leyendas se actualizan al togglear.,Relación con REQ-UI-0003 y REQ-TR-0001; depende de REQ-BK-0001.
REQ-UI-0010,Funcional,Pendiente,Media,Selector de intervalo bajo la gráfica,Selector de intervalo (rango libre y rápidos) que actualiza gráfica y KPIs.,"Control explícito del rango (A-UI, A-PO).",T (prueba manual cambiando intervalos).,1) Cambiar intervalo actualiza en <1s; 2) Rangos rápidos coinciden con REQ-UI-0002; 3) Selector refleja rango activo.,Depende de REQ-UI-0002 y REQ-UI-0003.
REQ-UI-0011,Funcional,Pendiente,Alta,Cajas métricas de flujos y PnL,"Mostrar beneficio, beneficio %, transferencias netas externas, dividendos, PnL de opciones e intereses pagados en el rango activo.","Exponer flujos/resultados clave (A-PO, A-TR).",T (prueba manual) + A (reconciliación).,1) Métricas se recalculan al cambiar rango; 2) Beneficio % deriva de beneficio vs base aportada; 3) Sumas de transferencias/dividendos/intereses coinciden con registros; 4) PnL de opciones se muestra aunque no se valoren posiciones.,"Relación con importadores (BK), series de cashflows (TR) y REQ-UI-0006."
REQ-UI-0012,Funcional,Pendiente,Alta,Aportes/retiros netos en moneda base,Mostrar aportes/retiros netos excluyendo movimientos internos de FX en moneda base configurada.,"Medir capital realmente aportado/retirado (A-PO, A-TR).",A (reconciliación de cashflows) + T (cambiando base).,1) Movimientos internos no alteran total; 2) Total coincide con transferencias externas; 3) Cambio de base reexpresa cifra.,Depende de REQ-BK-0001/0002; se muestra en REQ-UI-0009/0011.
REQ-UI-0013,Funcional,Pendiente,Media,Configuración de moneda base en UI,Seleccionar moneda base en Configuración y aplicarla a dashboard/KPIs sin recarga.,"Necesario para convertir valores y aportes a una moneda única (A-AR, A-TR).",T (prueba manual) + I (inspección de estado aplicado).,1) Cambiar base reexpresa cifras; 2) Preferencia persiste entre sesiones; 3) Textos muestran base vigente.,Depende de REQ-BK-0002; relación con Configuración UI.
REQ-UI-0014,Funcional,Pendiente,Media,Página de Configuración,Página de Configuración con selección de moneda base y vista de valor actual aplicada a dashboard/KPIs.,"Punto único para preferencias (A-PO, A-AR).",T (prueba manual) + I (persistencia en sesión).,1) Guardar base actualiza estado global; 2) Tras recargar se conserva; 3) Textos muestran base vigente.,Se apoya en REQ-BK-0003; relacionado con REQ-UI-0013.
REQ-UI-0015,Funcional,Pendiente,Alta,Tarjeta de transferencias netas,Tarjeta en dashboard con balance total de aportes/retiros externos en moneda base usando API de net transfers.,"Visibilidad clara del capital aportado/retirado (A-PO, A-TR).",T (prueba manual con CSV IB) + A (comparación con /cash/net-transfers).,1) Solo transferencias externas; 2) Valor = aportado - retirado; 3) Cambio de base reexpresa; 4) Se actualiza al importar CSV.,Depende de REQ-BK-0001/0003/0004.
REQ-UI-0016,Funcional,Pendiente,Alta,Tarjeta de valor de portafolio actual,"Mostrar valor total del portafolio en moneda base, sumando activos y efectivo en todas las divisas con FX vigente.","Referencia rápida del valor consolidado multimoneda (A-TR, A-UI).",A (cálculo vs backend) + T (posiciones/cash en varias divisas).,1) Incluye activos + efectivo; 2) Convierte otras divisas a base; 3) Se actualiza al importar/actualizar precios y FX; 4) Se muestra en base activa.,Depende de REQ-TR-0003 y REQ-BK-0005.
