"CurrencyPrimary","AssetClass","Symbol","ISIN","DateTime","TradeDate","Quantity","TradePrice","IBCommission","IBCommissionCurrency","Buy/Sell","IBExecID"
"USD","STK","SOXL","US25459W4583","27/03/2025;16:20:00","27/03/2025","200","27.5","0","USD","BUY",""
"USD","STK","TSLL","US25460G2865","31/03/2025;16:20:00","31/03/2025","100","23","0","USD","BUY",""
"USD","OPT","KO    250117C00065000","","14/01/2025;10:53:50","14/01/2025","1","0.01","-0.84825","USD","BUY","0001fada.67865a50.01.01"
"USD","OPT","KO    250207C00065000","","14/01/2025;11:05:26","14/01/2025","-1","0.18","-0.5615404","USD","SELL","0001203b.67865cee.01.01"
"USD","OPT","KO    250207C00065000","","07/02/2025;16:20:00","07/02/2025","1","0","0","USD","BUY",""
"USD","OPT","KO    250214C00066000","","05/02/2025;13:42:13","05/02/2025","-1","0.17","-1.0485126","USD","SELL","000139b2.67a37e77.01.01"
"USD","OPT","KO    250214C00066000","","11/02/2025;12:17:42","11/02/2025","1","1.16","-1.05525","USD","BUY","00014247.67ab5259.03.01"
"USD","OPT","KO    250307C00073000","","21/02/2025;15:34:54","21/02/2025","-1","0.29","-0.7088462","USD","SELL","00014247.67b898cb.04.01"
"USD","OPT","KO    250307C00073000","","05/03/2025;09:31:28","05/03/2025","1","0.02","-1.05665","USD","BUY","00015250.67c84645.01.01"
"USD","OPT","KO    250307P00065000","","21/02/2025;15:34:54","21/02/2025","1","0.03","-0.70525","USD","BUY","00014247.67b898cb.03.01"
"USD","OPT","KO    250307P00065000","","07/03/2025;16:20:00","07/03/2025","-1","0","0","USD","SELL",""
"USD","OPT","KO    250307P00069000","","21/02/2025;15:34:54","21/02/2025","-1","0.2","-0.708596","USD","SELL","00014247.67b898cb.02.01"
"USD","OPT","KO    250307P00069000","","07/03/2025;10:24:00","07/03/2025","1","0.01","-1.05665","USD","BUY","000139b2.67caef06.01.01"
"USD","OPT","KO    250321C00073000","","05/03/2025;14:03:16","05/03/2025","-1","0.2","-0.709996","USD","SELL","0000d999.67c84c85.01.01"
"USD","OPT","KO    250321C00073000","","18/03/2025;14:17:49","18/03/2025","1","0.01","-1.05665","USD","BUY","000139b2.67d976b1.01.01"
"USD","OPT","KO    250328C00067000","","11/02/2025;12:17:42","11/02/2025","-1","1.4","-1.061932","USD","SELL","00014247.67ab5259.02.01"
"USD","OPT","KO    250328C00067000","","21/02/2025;15:22:38","21/02/2025","1","4.66","-1.05525","USD","BUY","0001fada.67b87b7f.01.01"
"USD","OPT","KO    250425C00073000","","24/03/2025;10:30:14","24/03/2025","-1","0.19","-0.8099682","USD","SELL","00011083.67e14cdd.01.01"
"USD","OPT","KO    250425C00073000","","11/04/2025;15:35:43","11/04/2025","1","0.65","-0.70725","USD","BUY","00014247.67f923ef.03.01"
"USD","OPT","KO    250509C00074000","","11/04/2025;15:35:43","11/04/2025","-1","0.93","-0.7126254","USD","SELL","00014247.67f923ef.02.01"
"USD","OPT","KO    250509C00074000","","17/04/2025;14:37:41","17/04/2025","1","1.42","-0.70725","USD","BUY","00014247.6800ffbb.03.01"
"USD","OPT","KO    250530C00075000","","17/04/2025;14:37:41","17/04/2025","-1","1.47","-0.7141266","USD","SELL","00014247.6800ffbb.02.01"
"USD","OPT","KO    250530C00075000","","27/05/2025;09:53:24","27/05/2025","1","0.01","-1.05795","USD","BUY","0001de5e.6835cda8.01.01"
"USD","OPT","KO    250613C00074000","","28/05/2025;11:48:59","28/05/2025","-1","0.2","-0.78074","USD","SELL","0001de5e.68376d83.01.01"
"USD","OPT","KO    250613C00074000","","12/06/2025;11:44:19","12/06/2025","1","0.01","-1.05795","USD","BUY","0001de5e.684b32ae.01.01"
"USD","OPT","KO    250703C00073000","","17/06/2025;11:01:14","17/06/2025","-1","0.2","-0.81074","USD","SELL","00011083.68515934.01.01"
"USD","OPT","KO    250703C00073000","","30/06/2025;14:33:24","30/06/2025","1","0.01","-1.54795","USD","BUY","00011083.68629937.03.01"
"USD","OPT","KO    250718C00073000","","30/06/2025;14:33:24","30/06/2025","-1","0.18","-1.55074","USD","SELL","00011083.68629937.02.01"
"USD","OPT","KO    250718C00073000","","15/07/2025;12:19:03","15/07/2025","1","0.01","-1.05365","USD","BUY","0001de5e.6876dda5.01.01"
"USD","OPT","KO    250808C00073000","","16/07/2025;14:03:47","16/07/2025","-1","0.33","-0.77644","USD","SELL","0001de5e.68785d18.01.01"
"USD","OPT","KO    250808C00073000","","31/07/2025;09:40:26","31/07/2025","1","0.01","-1.05365","USD","BUY","0001de5e.688b6b4b.01.01"
"USD","OPT","KO    250822C00072000","","08/08/2025;14:38:20","08/08/2025","-1","0.25","-1.05424","USD","SELL","000130d1.68963074.01.01"
"USD","OPT","KO    250822C00072000","","22/08/2025;09:58:34","22/08/2025","1","0.01","-1.05145","USD","BUY","00015250.68a86481.01.01"
"USD","OPT","KO    250919C00072500","","27/08/2025;15:57:01","27/08/2025","-1","0.17","-1.05424","USD","SELL","00015250.68af32fe.01.01"
"USD","OPT","PFE   250207C00028000","","14/01/2025;10:51:24","14/01/2025","-1","0.21","-1.0706238","USD","SELL","0000d54d.6786928a.01.01"
"USD","OPT","PFE   250207C00028000","","04/02/2025;10:24:16","04/02/2025","1","0.02","-1.05525","USD","BUY","0000f9a7.67a21b70.01.01"
"USD","OPT","PFE   250314C00028000","","04/02/2025;11:44:26","04/02/2025","-1","0.17","-1.0485126","USD","SELL","0000f9a7.67a22d4e.01.01"
"USD","OPT","PFE   250314C00028000","","11/03/2025;10:19:39","11/03/2025","1","0.01","-1.05665","USD","BUY","0000f9a7.67d02b89.01.01"
"USD","OPT","PFE   250417C00028000","","13/03/2025;14:55:54","13/03/2025","-1","0.21","-1.0500238","USD","SELL","0000f9a7.67d3012e.01.01"
"USD","OPT","PFE   250417C00028000","","08/04/2025;10:33:05","08/04/2025","1","0.01","-1.05725","USD","BUY","0000f9a7.67f52062.01.01"
"USD","OPT","PFE   250502C00024000","","15/04/2025;11:20:47","15/04/2025","-1","0.18","-0.7805404","USD","SELL","0001de5e.67feaf9e.01.01"
"USD","OPT","PFE   250502C00024000","","02/05/2025;13:59:31","02/05/2025","1","0.2","-0.70795","USD","BUY","00014248.6814da4b.03.01"
"USD","OPT","PFE   250509C00024500","","02/05/2025;13:59:31","02/05/2025","-1","0.15","-0.711157","USD","SELL","00014248.6814da4b.02.01"
"USD","OPT","PFE   250509C00024500","","09/05/2025;16:20:00","09/05/2025","1","0","0","USD","BUY",""
"USD","OPT","PFE   250516C00023000","","09/05/2025;11:52:56","09/05/2025","-1","0.2","-0.641296","USD","SELL","00014248.681e04cb.01.01"
"USD","OPT","PFE   250516C00023000","","16/05/2025;10:51:53","16/05/2025","1","0.01","-1.05795","USD","BUY","0001de5e.68279be4.01.01"
"USD","OPT","PFE   250606C00024000","","19/05/2025;12:13:54","19/05/2025","-1","0.2","-0.78074","USD","SELL","0001de5e.682bb8e7.01.01"
"USD","OPT","PFE   250606C00024000","","05/06/2025;11:36:27","05/06/2025","1","0.01","-1.05795","USD","BUY","0001de5e.68420c46.01.01"
"USD","OPT","PFE   250620C00024000","","05/06/2025;15:37:17","05/06/2025","-1","0.18","-0.81074","USD","SELL","00011083.6841a6a6.01.01"
"USD","OPT","PFE   250620C00024000","","18/06/2025;13:35:22","18/06/2025","1","0.1","-1.54795","USD","BUY","00011083.6852b438.03.01"
"USD","OPT","PFE   250703C00024500","","18/06/2025;13:35:22","18/06/2025","-1","0.2","-1.55074","USD","SELL","00011083.6852b438.02.01"
"USD","OPT","PFE   250703C00024500","","03/07/2025;09:59:00","03/07/2025","1","0.9","-0.63365","USD","BUY","00014248.686675bb.01.01"
"USD","OPT","PFE   251219C00026000","","03/07/2025;10:03:59","03/07/2025","-1","1.17","-0.63644","USD","SELL","00014248.6866779a.01.01"
"USD","OPT","SOXL  250110P00030000","","06/01/2025;12:40:15","06/01/2025","-1","0.26","-1.0517628","USD","SELL","0000f9a7.677bfe42.01.01"
"USD","OPT","SOXL  250110P00030000","","10/01/2025;13:23:11","10/01/2025","1","1.86","-0.69825","USD","BUY","00014248.67813dfd.03.01"
"USD","OPT","SOXL  250117P00029500","","10/01/2025;13:23:11","10/01/2025","-1","2.26","-0.7073228","USD","SELL","00014248.67813dfd.02.01"
"USD","OPT","SOXL  250117P00029500","","15/01/2025;15:30:01","15/01/2025","1","0.56","-0.70525","USD","BUY","00014248.6787d50b.02.01"
"USD","OPT","SOXL  250124P00025500","","17/01/2025;14:52:03","17/01/2025","1","0.09","-1.05525","USD","BUY","000130d4.678ab70d.02.01"
"USD","OPT","SOXL  250124P00025500","","17/01/2025;14:54:41","17/01/2025","1","0.08","-0.85525","USD","BUY","0002abd2.678a5745.01.01"
"USD","OPT","SOXL  250124P00025500","","21/01/2025;15:32:09","21/01/2025","-1","0.02","-1.4580956","USD","SELL","0000eaa3.678fad74.01.01"
"USD","OPT","SOXL  250124P00025500","","24/01/2025;16:20:00","24/01/2025","-1","0","0","USD","SELL",""
"USD","OPT","SOXL  250124P00029000","","15/01/2025;15:30:01","15/01/2025","-1","0.94","-0.7106532","USD","SELL","00014248.6787d50b.03.01"
"USD","OPT","SOXL  250124P00029000","","21/01/2025;15:06:08","21/01/2025","1","0.06","-1.05525","USD","BUY","0000f9a7.678fd781.01.01"
"USD","OPT","SOXL  250124P00029500","","17/01/2025;14:52:03","17/01/2025","-1","0.38","-1.0590964","USD","SELL","000130d4.678ab70d.03.01"
"USD","OPT","SOXL  250124P00029500","","22/01/2025;14:00:33","22/01/2025","1","0.03","-1.05525","USD","BUY","0000f9a7.679116f5.01.01"
"USD","OPT","SOXL  250131P00027000","","22/01/2025;15:22:30","22/01/2025","1","0.12","-0.74525","USD","BUY","000130d4.67913175.01.01"
